Race,Lap,Position,Overtaker,Overtaken,Turn,Year,Session,OvertakerNumber,OvertakenNumber,NormalizedPosition,X,Y,CornerAngle,AverageCornerSpeed,SpeedDelta,DistanceDelta,isOvertakerSoft,isOvertakenSoft,isOvertakerMedium,isOvertakenMedium,isOvertakerHard,isOvertakenHard,isOvertakerWet,isOvertakenWet,isOvertakerIntermediate,isOvertakenIntermediate,OvertakerTyreLife,OvertakenTyreLife,IsOvertakerFreshTyre,IsOvertakenFreshTyre,OvertakeHappened
China,27,1,Bottas,Raikkonen,2,2018,R,77,7,0.05,-5133.3388671875,-986.1815795898438,0.2311176749661236,-0.8449956079747258,-0.19986434897723668,-0.3947065891398949,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3695652186870575,0.3695652186870575,0.0,0.0,1
China,36,12,Ocon,Vandoorne,7,2018,R,31,2,0.6,-3495.4052734375,611.8964233398438,0.2615597309424564,1.5719063176307715,-0.7098175312098608,-0.36561854506872793,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239130437374115,0.2222222238779068,1.0,1.0,1
China,36,14,Perez,Stroll,2,2018,R,11,18,0.7,-5133.3388671875,-986.1815795898438,0.2311176749661236,-0.8449956079747258,-0.20517636129215983,-0.3064136493194504,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555555611848831,0.2222222238779068,0.0,1.0,1
China,36,15,Gasly,Stroll,7,2018,R,10,18,0.75,-3495.4052734375,611.8964233398438,0.2615597309424564,1.5719063176307715,0.7173422461474926,-0.2471954480280548,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222238779068,0.2222222238779068,1.0,1.0,1
China,37,5,Ricciardo,Raikkonen,14,2018,R,3,7,0.25,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.6474898984334622,-0.24939289717384103,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1521739065647125,0.1521739065647125,0.0,0.0,1
China,40,3,Ricciardo,Hamilton,14,2018,R,3,44,0.15,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.5398331371323194,-0.13172892474834105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565233588218,0.0666666701436042,0.0,0.0,1
China,42,2,Ricciardo,Vettel,14,2018,R,3,5,0.1,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.45484094009354875,-0.30663339652020466,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782616794109,0.0227272734045982,0.0,0.0,1
China,42,4,Verstappen,Hamilton,6,2018,R,33,44,0.2,-6594.7578125,3667.179443359375,0.2878258674113974,-0.9804815192242364,0.42624436035310503,-0.39350131449443465,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222227603197,0.0222222227603197,0.0,0.0,1
China,44,6,Hulkenberg,Vettel,1,2018,R,27,5,0.3,-5247.443359375,-2414.479736328125,0.3415397244565283,0.8230929958820572,0.3281504532529302,-0.39005196700910394,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0222222227603197,-0.0227272734045982,0.0,0.0,1
China,45,1,Ricciardo,Bottas,6,2018,R,3,77,0.05,-6594.7578125,3667.179443359375,0.2878258674113974,-0.9804815192242364,0.1679652693930547,-0.4095927159243638,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0217391308397054,-0.0217391308397054,0.0,0.0,1
