Race,Lap,Position,Overtaker,Overtaken,Turn,Year,Session,OvertakerNumber,OvertakenNumber,NormalizedPosition,X,Y,CornerAngle,AverageCornerSpeed,SpeedDelta,DistanceDelta,OvertakerDrsState,isOvertakerSoft,isOvertakenSoft,isOvertakerMedium,isOvertakenMedium,isOvertakerHard,isOvertakenHard,isOvertakerWet,isOvertakenWet,isOvertakerIntermediate,isOvertakenIntermediate,OvertakerTyreLife,OvertakenTyreLife,IsOvertakerFreshTyre,IsOvertakenFreshTyre
China,27,1,Bottas,Raikkonen,4,2018,R,77,7,0.05,-4096.869140625,-1006.836669921875,0.06050619941584581,194.0,-19.5291748046875,6.629443168640137,0,1,1,0,0,0,0,0,0,0,0,0.3695652186870575,0.3695652186870575,0,0
China,36,12,Ocon,Vandoorne,16,2018,R,31,2,0.6,2978.087890625,-910.5693969726562,0.22355357925000544,174.12500266666666,-1.0,25.20111083984375,0,1,1,0,0,0,0,0,0,0,0,0.239130437374115,0.2222222238779068,1,1
China,36,14,Perez,Stroll,9,2018,R,11,18,0.7,-166.50686645507812,1202.739990234375,0.20029296823964543,117.0,-3.6875,4.704999923706055,0,1,1,0,0,0,0,0,0,0,0,0.15555556118488312,0.2222222238779068,0,1
China,36,15,Gasly,Stroll,14,2018,R,10,18,0.75,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,-1.899993896484375,3.7155556678771973,0,0,1,1,0,0,0,0,0,0,0,0.2222222238779068,0.2222222238779068,1,1
China,37,5,Ricciardo,Raikkonen,11,2018,R,3,7,0.25,-1811.59228515625,6056.27783203125,0.2105388799718845,102.0,-3.5,36.2327766418457,0,1,1,0,0,0,0,0,0,0,0,0.15217390656471252,0.15217390656471252,0,0
China,40,3,Ricciardo,Hamilton,9,2018,R,3,44,0.15,-166.50686645507812,1202.739990234375,0.20029296823964543,117.0,-1.070831298828125,65.83528137207031,0,1,1,0,0,0,0,0,0,0,0,0.08695652335882187,0.06666667014360428,0,0
China,42,2,Ricciardo,Vettel,5,2018,R,3,5,0.1,-6014.22705078125,1311.9625244140625,0.41826620997949965,273.0,-4.475006103515625,94.96221923828125,0,1,1,0,0,0,0,0,0,0,0,0.043478261679410934,0.022727273404598236,0,0
China,42,4,Verstappen,Hamilton,10,2018,R,33,44,0.2,600.0055541992188,1968.2391357421875,0.016638236806516066,200.0,-8.0,74.28805541992188,0,1,1,0,0,0,0,0,0,0,0,0.02222222276031971,0.02222222276031971,0,0
China,44,6,Hulkenberg,Vettel,9,2018,R,27,5,0.3,-166.50686645507812,1202.739990234375,0.20029296823964543,117.0,-1.1666641235351562,48.20694351196289,0,1,1,0,0,0,0,0,0,0,0,-0.02222222276031971,-0.022727273404598236,0,0
China,45,1,Ricciardo,Bottas,4,2018,R,3,77,0.05,-4096.869140625,-1006.836669921875,0.06050619941584581,194.0,-9.0,0.4216666519641876,0,1,1,0,0,0,0,0,0,0,0,-0.021739130839705467,-0.021739130839705467,0,0
